course_name,comment_text,grade_score,course_rating,sentiment_label
Aesthetics,The quizzes were unclear and frustrating.,31,4,-1
Aesthetics,A good mix of lectures and assignments.,53,1,-1
Aesthetics,The quizzes were unclear and frustrating.,61,5,-1
Aesthetics,Excellent content but too fast-paced.,28,2,1
Aesthetics,"Hard to follow, needs better structure.",88.5,4,-1
Aesthetics,Loved the depth and historical insights!,17,5,1
Aesthetics,"Brilliant explanations, very engaging!",73,4,1
Aesthetics,Loved the depth and historical insights!,6.5,1,1
Aesthetics,I found the materials a bit confusing and poorly organized.,54.5,2,-1
Aesthetics,"Hard to follow, needs better structure.",45.5,4,-1
Aesthetics,"Neutral feeling, nothing special.",14,1,0
Aesthetics,"Neutral feeling, nothing special.",27.5,2,0
Aesthetics,The course is very informative and the instructor is great.,74,5,1
Aesthetics,I found the materials a bit confusing and poorly organized.,72.5,4,-1
Aesthetics,"Neutral feeling, nothing special.",43.5,4,0
Aesthetics,"Too theoretical, lacked real-world examples.",14,3,-1
Aesthetics,Loved the depth and historical insights!,12,5,1
Aesthetics,Loved the depth and historical insights!,97.5,1,1
Aesthetics,The quizzes were unclear and frustrating.,70.5,4,-1
Aesthetics,The course is very informative and the instructor is great.,8.5,2,1
Aesthetics,"Neutral feeling, nothing special.",52.5,5,0
Aesthetics,"Brilliant explanations, very engaging!",65.5,4,1
Aesthetics,"Neutral feeling, nothing special.",87,2,0
Aesthetics,The course is very informative and the instructor is great.,37,5,1
Aesthetics,Excellent content but too fast-paced.,87,1,1
Aesthetics,The quizzes were unclear and frustrating.,64.5,5,-1
Aesthetics,"Brilliant explanations, very engaging!",61.5,3,1
Aesthetics,The course is very informative and the instructor is great.,23.5,3,1
Aesthetics,"Hard to follow, needs better structure.",75.5,5,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,77.5,1,-1
Aesthetics,"Hard to follow, needs better structure.",75.5,5,-1
Aesthetics,The quizzes were unclear and frustrating.,56,5,-1
Aesthetics,A good mix of lectures and assignments.,0,2,-1
Aesthetics,"Brilliant explanations, very engaging!",9,2,1
Aesthetics,Excellent content but too fast-paced.,52,3,1
Aesthetics,"Hard to follow, needs better structure.",6.5,1,-1
Aesthetics,"Hard to follow, needs better structure.",95,5,-1
Aesthetics,"Neutral feeling, nothing special.",63,4,0
Aesthetics,"Too theoretical, lacked real-world examples.",40,1,-1
Aesthetics,"Hard to follow, needs better structure.",94,1,-1
Aesthetics,"Neutral feeling, nothing special.",90.5,1,0
Aesthetics,Excellent content but too fast-paced.,58,2,1
Aesthetics,The course is very informative and the instructor is great.,84,1,1
Aesthetics,The course is very informative and the instructor is great.,26.5,4,1
Aesthetics,"Too theoretical, lacked real-world examples.",54.5,2,-1
Aesthetics,Excellent content but too fast-paced.,87,4,1
Aesthetics,Loved the depth and historical insights!,14.5,2,1
Aesthetics,A good mix of lectures and assignments.,79,3,-1
Aesthetics,"Too theoretical, lacked real-world examples.",2,1,-1
Aesthetics,A good mix of lectures and assignments.,64,3,-1
Aesthetics,Loved the depth and historical insights!,1.5,2,1
Aesthetics,The course is very informative and the instructor is great.,50.5,1,1
Aesthetics,"Too theoretical, lacked real-world examples.",60,4,-1
Aesthetics,Loved the depth and historical insights!,50,4,1
Aesthetics,A good mix of lectures and assignments.,68.5,1,-1
Aesthetics,Excellent content but too fast-paced.,69,5,1
Aesthetics,I found the materials a bit confusing and poorly organized.,15.5,5,-1
Aesthetics,The quizzes were unclear and frustrating.,71.5,3,-1
Aesthetics,A good mix of lectures and assignments.,26.5,1,-1
Aesthetics,"Brilliant explanations, very engaging!",4.5,3,1
Aesthetics,I found the materials a bit confusing and poorly organized.,76,5,-1
Aesthetics,Loved the depth and historical insights!,15.5,2,1
Aesthetics,Excellent content but too fast-paced.,32,4,1
Aesthetics,"Too theoretical, lacked real-world examples.",32.5,3,-1
Aesthetics,The course is very informative and the instructor is great.,26,1,1
Aesthetics,A good mix of lectures and assignments.,80,5,-1
Aesthetics,The quizzes were unclear and frustrating.,85,2,-1
Aesthetics,The quizzes were unclear and frustrating.,69.5,2,-1
Aesthetics,The quizzes were unclear and frustrating.,22.5,1,-1
Aesthetics,Loved the depth and historical insights!,35.5,2,1
Aesthetics,Excellent content but too fast-paced.,1.5,4,1
Aesthetics,"Neutral feeling, nothing special.",95.5,2,0
Aesthetics,"Hard to follow, needs better structure.",81,4,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,78.5,3,-1
Aesthetics,"Brilliant explanations, very engaging!",40.5,2,1
Aesthetics,"Too theoretical, lacked real-world examples.",81,2,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,21,2,-1
Aesthetics,The quizzes were unclear and frustrating.,42.5,3,-1
Aesthetics,Loved the depth and historical insights!,84,1,1
Aesthetics,The quizzes were unclear and frustrating.,6.5,3,-1
Aesthetics,"Neutral feeling, nothing special.",38,1,0
Aesthetics,The quizzes were unclear and frustrating.,28,1,-1
Aesthetics,Loved the depth and historical insights!,26,3,1
Aesthetics,"Hard to follow, needs better structure.",72.5,2,-1
Aesthetics,Excellent content but too fast-paced.,96,3,1
Aesthetics,The quizzes were unclear and frustrating.,88.5,1,-1
Aesthetics,A good mix of lectures and assignments.,88,5,-1
Aesthetics,The quizzes were unclear and frustrating.,89,5,-1
Aesthetics,"Neutral feeling, nothing special.",27.5,1,0
Aesthetics,Loved the depth and historical insights!,23,1,1
Aesthetics,"Brilliant explanations, very engaging!",52.5,5,1
Aesthetics,The course is very informative and the instructor is great.,15.5,5,1
Aesthetics,I found the materials a bit confusing and poorly organized.,14,2,-1
Aesthetics,The quizzes were unclear and frustrating.,2.5,2,-1
Aesthetics,"Neutral feeling, nothing special.",78,2,0
Aesthetics,A good mix of lectures and assignments.,59,3,-1
Aesthetics,Loved the depth and historical insights!,5,4,1
Aesthetics,The quizzes were unclear and frustrating.,76,5,-1
Aesthetics,"Neutral feeling, nothing special.",74.5,5,0
Aesthetics,"Hard to follow, needs better structure.",62.5,5,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,1,2,-1
Aesthetics,The course is very informative and the instructor is great.,67,2,1
Aesthetics,The course is very informative and the instructor is great.,11.5,5,1
Aesthetics,The quizzes were unclear and frustrating.,14.5,1,-1
Aesthetics,Excellent content but too fast-paced.,5.5,4,1
Aesthetics,The course is very informative and the instructor is great.,58.5,4,1
Aesthetics,The course is very informative and the instructor is great.,45.5,1,1
Aesthetics,Loved the depth and historical insights!,65,2,1
Aesthetics,Excellent content but too fast-paced.,81.5,5,1
Aesthetics,"Brilliant explanations, very engaging!",65,4,1
Aesthetics,A good mix of lectures and assignments.,54.5,1,-1
Aesthetics,"Hard to follow, needs better structure.",37.5,1,-1
Aesthetics,"Neutral feeling, nothing special.",94.5,4,0
Aesthetics,"Too theoretical, lacked real-world examples.",88.5,5,-1
Aesthetics,Loved the depth and historical insights!,8.5,2,1
Aesthetics,"Hard to follow, needs better structure.",1,4,-1
Aesthetics,Loved the depth and historical insights!,15.5,5,1
Aesthetics,The quizzes were unclear and frustrating.,4,2,-1
Aesthetics,The quizzes were unclear and frustrating.,21,3,-1
Aesthetics,Excellent content but too fast-paced.,73,1,1
Aesthetics,"Too theoretical, lacked real-world examples.",63,1,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,24.5,4,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,53,4,-1
Aesthetics,Loved the depth and historical insights!,69,3,1
