course_name,comment_text,grade_score,course_rating,sentiment_label
Art of Negotiation,The quizzes were unclear and frustrating.,68.61,4,-1
Art of Negotiation,Excellent content but too fast-paced.,63.28,5,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",54.44,3,-1
Art of Negotiation,Excellent content but too fast-paced.,90.93,2,1
Art of Negotiation,The course is very informative and the instructor is great.,83.69,4,1
Art of Negotiation,"Brilliant explanations, very engaging!",50.25,1,1
Art of Negotiation,"Neutral feeling, nothing special.",99.99,4,0
Art of Negotiation,A good mix of lectures and assignments.,88.8,3,-1
Art of Negotiation,"Hard to follow, needs better structure.",58.05,1,-1
Art of Negotiation,"Hard to follow, needs better structure.",77.44,3,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,86.83,1,-1
Art of Negotiation,"Hard to follow, needs better structure.",92.91,4,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,96.2,3,-1
Art of Negotiation,"Too theoretical, lacked real-world examples.",85.14,5,-1
Art of Negotiation,"Neutral feeling, nothing special.",67.34,1,0
Art of Negotiation,The course is very informative and the instructor is great.,90.16,4,1
Art of Negotiation,A good mix of lectures and assignments.,42.98,5,-1
Art of Negotiation,Excellent content but too fast-paced.,71.19,5,1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,89.15,1,-1
Art of Negotiation,"Brilliant explanations, very engaging!",78.47,2,1
Art of Negotiation,A good mix of lectures and assignments.,99.52,1,-1
Art of Negotiation,"Hard to follow, needs better structure.",47.96,4,-1
Art of Negotiation,Loved the depth and historical insights!,66.78,2,1
Art of Negotiation,The quizzes were unclear and frustrating.,97.88,3,-1
Art of Negotiation,"Brilliant explanations, very engaging!",77.93,5,1
Art of Negotiation,The course is very informative and the instructor is great.,75.61,1,1
Art of Negotiation,Loved the depth and historical insights!,90.28,5,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",70.41,5,-1
Art of Negotiation,The quizzes were unclear and frustrating.,43.56,4,-1
Art of Negotiation,"Hard to follow, needs better structure.",85.84,3,-1
Art of Negotiation,"Brilliant explanations, very engaging!",53.05,3,1
Art of Negotiation,Excellent content but too fast-paced.,55.62,3,1
Art of Negotiation,A good mix of lectures and assignments.,67.9,4,-1
Art of Negotiation,Excellent content but too fast-paced.,45.56,5,1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,75.39,3,-1
Art of Negotiation,"Brilliant explanations, very engaging!",76.92,4,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",76.08,2,-1
Art of Negotiation,The course is very informative and the instructor is great.,55.01,3,1
Art of Negotiation,"Brilliant explanations, very engaging!",65.8,5,1
Art of Negotiation,"Brilliant explanations, very engaging!",48.96,2,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",66.56,1,-1
Art of Negotiation,Excellent content but too fast-paced.,44.66,1,1
Art of Negotiation,Loved the depth and historical insights!,93.85,3,1
Art of Negotiation,"Brilliant explanations, very engaging!",97.29,4,1
Art of Negotiation,A good mix of lectures and assignments.,75.71,1,-1
Art of Negotiation,"Too theoretical, lacked real-world examples.",75.39,1,-1
Art of Negotiation,"Neutral feeling, nothing special.",93.88,4,0
Art of Negotiation,The quizzes were unclear and frustrating.,48.14,1,-1
Art of Negotiation,The quizzes were unclear and frustrating.,87.21,4,-1
Art of Negotiation,"Too theoretical, lacked real-world examples.",89.57,2,-1
Art of Negotiation,"Too theoretical, lacked real-world examples.",56.17,5,-1
Art of Negotiation,The quizzes were unclear and frustrating.,88.34,3,-1
Art of Negotiation,"Hard to follow, needs better structure.",83.01,1,-1
Art of Negotiation,Loved the depth and historical insights!,69.83,4,1
Art of Negotiation,Excellent content but too fast-paced.,40.45,2,1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,96.87,1,-1
Art of Negotiation,"Too theoretical, lacked real-world examples.",74.38,1,-1
Art of Negotiation,"Hard to follow, needs better structure.",83.43,1,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,50.87,3,-1
Art of Negotiation,The quizzes were unclear and frustrating.,79.77,1,-1
Art of Negotiation,Excellent content but too fast-paced.,96.41,4,1
Art of Negotiation,"Brilliant explanations, very engaging!",84.75,1,1
Art of Negotiation,The quizzes were unclear and frustrating.,76.02,5,-1
Art of Negotiation,"Neutral feeling, nothing special.",89.56,1,0
Art of Negotiation,A good mix of lectures and assignments.,96.92,4,-1
Art of Negotiation,"Neutral feeling, nothing special.",43.47,1,0
Art of Negotiation,"Brilliant explanations, very engaging!",99.13,4,1
Art of Negotiation,A good mix of lectures and assignments.,84.8,1,-1
Art of Negotiation,The course is very informative and the instructor is great.,67.61,1,1
Art of Negotiation,The quizzes were unclear and frustrating.,66.56,3,-1
Art of Negotiation,"Too theoretical, lacked real-world examples.",46.36,1,-1
Art of Negotiation,The quizzes were unclear and frustrating.,80.76,3,-1
Art of Negotiation,A good mix of lectures and assignments.,91.38,4,-1
Art of Negotiation,"Neutral feeling, nothing special.",57.61,2,0
Art of Negotiation,"Brilliant explanations, very engaging!",40.34,1,1
Art of Negotiation,The course is very informative and the instructor is great.,62.38,1,1
Art of Negotiation,A good mix of lectures and assignments.,88.15,4,-1
Art of Negotiation,"Brilliant explanations, very engaging!",99.04,5,1
Art of Negotiation,The course is very informative and the instructor is great.,58.56,3,1
Art of Negotiation,"Brilliant explanations, very engaging!",87.46,2,1
Art of Negotiation,"Neutral feeling, nothing special.",59.57,3,0
Art of Negotiation,"Too theoretical, lacked real-world examples.",73.84,5,-1
Art of Negotiation,"Too theoretical, lacked real-world examples.",51.87,3,-1
Art of Negotiation,A good mix of lectures and assignments.,85.49,2,-1
Art of Negotiation,"Too theoretical, lacked real-world examples.",60.47,5,-1
Art of Negotiation,Excellent content but too fast-paced.,44.42,3,1
Art of Negotiation,"Neutral feeling, nothing special.",78.51,2,0
Art of Negotiation,The quizzes were unclear and frustrating.,88.79,1,-1
Art of Negotiation,A good mix of lectures and assignments.,47.79,5,-1
Art of Negotiation,"Neutral feeling, nothing special.",79.07,5,0
Art of Negotiation,"Neutral feeling, nothing special.",60.9,5,0
Art of Negotiation,Excellent content but too fast-paced.,94.71,2,1
Art of Negotiation,"Neutral feeling, nothing special.",80.47,5,0
Art of Negotiation,"Hard to follow, needs better structure.",76.99,1,-1
Art of Negotiation,A good mix of lectures and assignments.,78.16,1,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,71.04,3,-1
Art of Negotiation,Loved the depth and historical insights!,95.39,5,1
Art of Negotiation,"Brilliant explanations, very engaging!",41.4,1,1
Art of Negotiation,"Brilliant explanations, very engaging!",51.91,5,1
Art of Negotiation,Loved the depth and historical insights!,64.3,1,1
Art of Negotiation,"Hard to follow, needs better structure.",57.24,1,-1
Art of Negotiation,"Hard to follow, needs better structure.",60.97,3,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,78.38,5,-1
Art of Negotiation,"Neutral feeling, nothing special.",65.77,5,0
Art of Negotiation,The quizzes were unclear and frustrating.,63.89,5,-1
Art of Negotiation,A good mix of lectures and assignments.,98.26,4,-1
Art of Negotiation,Excellent content but too fast-paced.,84.52,4,1
Art of Negotiation,Loved the depth and historical insights!,61.44,2,1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,72.44,4,-1
Art of Negotiation,Excellent content but too fast-paced.,88.37,1,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",93.73,4,-1
Art of Negotiation,A good mix of lectures and assignments.,80.05,4,-1
Art of Negotiation,"Neutral feeling, nothing special.",82.18,4,0
Art of Negotiation,The quizzes were unclear and frustrating.,97.01,3,-1
Art of Negotiation,Loved the depth and historical insights!,85.15,2,1
Art of Negotiation,The course is very informative and the instructor is great.,90.58,4,1
Art of Negotiation,Loved the depth and historical insights!,46.87,2,1
Art of Negotiation,A good mix of lectures and assignments.,57.61,4,-1
Art of Negotiation,Loved the depth and historical insights!,99.05,5,1
Art of Negotiation,Loved the depth and historical insights!,95.61,5,1
Art of Negotiation,Excellent content but too fast-paced.,61.73,1,1
Art of Negotiation,The course is very informative and the instructor is great.,48.45,3,1
Art of Negotiation,"Neutral feeling, nothing special.",99.36,1,0
Art of Negotiation,The quizzes were unclear and frustrating.,48.24,4,-1
Art of Negotiation,The quizzes were unclear and frustrating.,68.21,2,-1
Art of Negotiation,The quizzes were unclear and frustrating.,94.11,5,-1
Art of Negotiation,Excellent content but too fast-paced.,57.44,5,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",64.52,1,-1
Art of Negotiation,A good mix of lectures and assignments.,83.46,1,-1
Art of Negotiation,"Neutral feeling, nothing special.",53.97,5,0
Art of Negotiation,I found the materials a bit confusing and poorly organized.,73.88,5,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,93.73,2,-1
Art of Negotiation,The quizzes were unclear and frustrating.,80.64,3,-1
Art of Negotiation,"Hard to follow, needs better structure.",91.13,5,-1
Art of Negotiation,The course is very informative and the instructor is great.,94.59,2,1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,99.27,3,-1
Art of Negotiation,A good mix of lectures and assignments.,59.33,5,-1
Art of Negotiation,"Hard to follow, needs better structure.",95.67,3,-1
Art of Negotiation,"Brilliant explanations, very engaging!",92.98,4,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",59.58,4,-1
Art of Negotiation,"Brilliant explanations, very engaging!",44.63,1,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",60.49,1,-1
Art of Negotiation,"Neutral feeling, nothing special.",50.27,5,0
Art of Negotiation,Loved the depth and historical insights!,85.45,2,1
Art of Negotiation,Excellent content but too fast-paced.,69.45,3,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",65.78,1,-1
Art of Negotiation,The course is very informative and the instructor is great.,75.2,4,1
Art of Negotiation,The quizzes were unclear and frustrating.,42.47,5,-1
Art of Negotiation,A good mix of lectures and assignments.,41.81,3,-1
Art of Negotiation,A good mix of lectures and assignments.,69.13,5,-1
Art of Negotiation,"Hard to follow, needs better structure.",84.9,5,-1
Art of Negotiation,"Neutral feeling, nothing special.",57.45,5,0
Art of Negotiation,Loved the depth and historical insights!,79.09,1,1
Art of Negotiation,Loved the depth and historical insights!,40.78,5,1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,59.94,2,-1
Art of Negotiation,Excellent content but too fast-paced.,44.78,5,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",76.17,2,-1
Art of Negotiation,"Hard to follow, needs better structure.",44.58,1,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,82.01,4,-1
Art of Negotiation,"Brilliant explanations, very engaging!",45.2,2,1
Art of Negotiation,"Hard to follow, needs better structure.",50.41,3,-1
Art of Negotiation,The quizzes were unclear and frustrating.,64.37,5,-1
Art of Negotiation,Excellent content but too fast-paced.,76.4,1,1
Art of Negotiation,The quizzes were unclear and frustrating.,77.35,2,-1
Art of Negotiation,"Too theoretical, lacked real-world examples.",69.89,3,-1
Art of Negotiation,The course is very informative and the instructor is great.,59.08,5,1
Art of Negotiation,A good mix of lectures and assignments.,86.4,3,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,91.94,4,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,66,5,-1
Art of Negotiation,Loved the depth and historical insights!,89.39,3,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",76.97,5,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,54.72,1,-1
Art of Negotiation,Loved the depth and historical insights!,51.37,4,1
Art of Negotiation,Excellent content but too fast-paced.,59.45,4,1
Art of Negotiation,"Brilliant explanations, very engaging!",69.34,2,1
Art of Negotiation,"Brilliant explanations, very engaging!",66.74,3,1
Art of Negotiation,A good mix of lectures and assignments.,99.71,3,-1
Art of Negotiation,Excellent content but too fast-paced.,52.58,4,1
Art of Negotiation,The course is very informative and the instructor is great.,95.41,4,1
Art of Negotiation,The quizzes were unclear and frustrating.,67.3,5,-1
Art of Negotiation,"Brilliant explanations, very engaging!",51.75,5,1
Art of Negotiation,Excellent content but too fast-paced.,75.63,3,1
Art of Negotiation,Excellent content but too fast-paced.,54.37,1,1
Art of Negotiation,"Too theoretical, lacked real-world examples.",92.72,5,-1
Art of Negotiation,The course is very informative and the instructor is great.,47.65,4,1
Art of Negotiation,"Hard to follow, needs better structure.",64.15,5,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,66.99,1,-1
Art of Negotiation,Loved the depth and historical insights!,99.28,4,1
Art of Negotiation,"Brilliant explanations, very engaging!",69.06,1,1
Art of Negotiation,"Brilliant explanations, very engaging!",62.55,4,1
Art of Negotiation,Loved the depth and historical insights!,90.91,2,1
Art of Negotiation,Excellent content but too fast-paced.,93.28,4,1
Art of Negotiation,Excellent content but too fast-paced.,78.64,5,1
Art of Negotiation,"Hard to follow, needs better structure.",93.18,4,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,44.91,2,-1
Art of Negotiation,The course is very informative and the instructor is great.,73.02,3,1
Art of Negotiation,Excellent content but too fast-paced.,64.05,3,1
Art of Negotiation,The course is very informative and the instructor is great.,90.09,5,1
Art of Negotiation,"Brilliant explanations, very engaging!",58.22,4,1
Art of Negotiation,The quizzes were unclear and frustrating.,54,3,-1
Art of Negotiation,I found the materials a bit confusing and poorly organized.,65.13,5,-1
